,License Plate,Make,Color,Owner,Owner Height,Owner Weight (lbs.)
0,T3YUHF6,Toyota,Yellow,Jianbo Megannem,"5'6""",246
1,EZ21ECE,BMW,Gold,Norbert Feldwehr,"5'3""",205
2,CQN2TJE,Mazda,Red,Alexandra Jokinen,"5'11""",227
3,D875IMS,Cadillac,Orange,Thi Kostadinov,"5'11""",198
4,Q0SK1KP,Cadillac,Red,Sidni Sze,"5'9""",199
5,AJ0AHI2,Toyota,Yellow,Matti Othman,"5'7""",235
6,V6P2176,Volkswagen,Silver,David Jeong,"5'4""",133
7,03VOMKE,Cadillac,Pink,Daeyoong Louis,"5'10""",232
8,A2W8QL0,Jaguar,Blue,Daniele Nurmukhambetova,"6'2""",212
9,9HA8K7P,Toyota,Silver,Katya Kindzerska,"5'8""",219
10,R7B7T86,Mazda,Yellow,Cristian Dobek,"5'1""",204
11,Y85AVXF,Mazda,White,Jie Tarasova,"5'1""",238
12,C0ZQE3X,Dodge,Silver,Lenise Liu,"5'10""",167
13,LZRU1V1,Nissan,White,Shara Green,"5'10""",149
14,1CH50MB,Audi,Red,Ashley Kukors,"5'3""",195
15,P96SJFE,Cadillac,Pink,Oscar Bultheel,"5'7""",190
16,28W5FMJ,Dodge,Black,Josefin QUINTERO,"5'11""",147
17,YG34BJB,Nissan,Green,Sinead Colle,"5'2""",195
18,AT28Y90,Volvo,Orange,Jade Jallouz,"5'7""",182
19,B43989P,Mazda,Pink,Rauli Schlanger,"5'2""",215
20,3ZZWYGH,Volkswagen,Green,Adrianti Tsirekidze,"6'0""",246
21,TL7MSWL,BMW,Blue,Adam Moreno,"6'1""",163
22,FKXLG8O,Toyota,Blue,Sergey Buckman,"6'2""",139
23,KDOHP59,Cadillac,Green,Jinling Golovkina,"6'1""",156
24,KH6EBNF,Mazda,Blue,Rasmus Rindom,"6'4""",234
25,I3F64QC,Audi,Pink,Megan Raymond,"5'7""",196
26,8WFHL48,Cadillac,Red,Donglun Borlee,"5'2""",172
27,AZ493OM,Volkswagen,White,Jean-Christophe Davenport,"5'8""",148
28,BASRUZ9,Volkswagen,Pink,Bianca Al-Attiya,"6'0""",169
29,1SPD7G1,Audi,Green,Husayn Robinson,"5'0""",143
30,JX8ITNK,Nissan,Yellow,Caroline Warlow,"5'8""",218
31,8P55KCQ,BMW,Orange,Kevin Okori,"6'3""",186
32,GSQYS8U,Toyota,Pink,Alessio Ariza,"6'2""",247
33,184YFWT,Mazda,Blue,Fionnuala Horst,"6'1""",212
34,QDD11G4,Volvo,Yellow,Veronika Wruck,"5'4""",180
35,0CP3USE,Hyundai,Silver,Nyam-Ochir Yauhleuskaya,"5'10""",248
36,8DE0DJO,Subaru,Gold,Jan-Di Aydarski,"5'11""",165
37,26Q1W9D,Audi,Blue,Betkili Khaibulaev,"5'2""",142
38,VDT84H8,Toyota,Teal,Maria Ro,"6'1""",232
39,GVB2A2V,Audi,Black,Jacques Smith,"6'4""",146
40,QV5NMPH,BMW,Green,Jenny Flognman,"6'2""",194
41,HDEQSBL,BMW,Gold,Jonathan Munoz,"6'4""",205
42,VA1WDQS,Hyundai,White,Moana Xian,"5'3""",137
43,PHYC0HO,Jaguar,Teal,Jeemin Tyler,"5'10""",237
44,9CEH5SS,Fiat,Red,Jefferson Nagy,"6'1""",157
45,MI4V97D,Jaguar,Red,Daniela Schleu,"6'2""",237
46,T7E7NUS,Ford,Teal,Steven Schlanger,"5'8""",227
47,OLVE0N5,Nissan,Yellow,Peter Ochoa,"6'0""",200
48,HR3GVRC,Subaru,Teal,Oleksiy Ferrer,"6'0""",164
49,AGR6DL7,Dodge,Gold,Bernard Yip,"5'10""",198
50,FLYHISL,Hyundai,Green,Tomasz Jang,"5'2""",202
51,ODAQ0JD,Mazda,White,Ramon Eom,"5'2""",241
52,GMOJ2O2,Cadillac,Green,Vladimir Khousrof,"5'3""",250
53,QOBSFKL,Honda,Blue,Aurelie Kirkham,"5'11""",210
54,BC0GWE5,Jeep,Black,Alexandre Smedins,"5'6""",237
55,IZCXG0J,Ford,Teal,Almat Lucas,"5'3""",183
56,WGQIXHG,Ford,Teal,Tyler Payet,"5'6""",240
57,Z4FCH97,Honda,Green,Christian Brata,"6'4""",163
58,W2VSVBI,Jeep,Orange,Vlado Gu,"6'4""",157
59,ZZLQBWK,BMW,Red,Yin Toma,"6'3""",162
60,CA92TM3,Ford,White,Sam Lahnsteiner,"6'1""",154
61,IAHDZKM,Audi,Green,Souad Haase,"5'4""",169
62,4Z2B7IF,Volkswagen,White,Connor Wagner,"5'2""",144
63,S1ZJSSE,Nissan,Silver,Zigismunds Winther,"5'9""",190
64,JXNXU0A,Jaguar,Orange,Sviatlana Zucchetti,"5'6""",210
65,F9JR1BQ,Subaru,Black,Gideon Davies,"5'7""",223
66,U7IS4YM,Audi,Red,Viorica Schwarzkopf,"5'6""",187
67,KOO0H99,Volkswagen,Teal,Peter Sloma,"6'3""",249
68,A3FN3BO,Dodge,Yellow,Zara Luvsanlundeg,"5'11""",146
69,5FE1W17,Hyundai,Silver,Danijel Pyhyda,"6'2""",248
70,EMV6HYN,Nissan,Green,Mareme Mihelic,"5'8""",228
71,5KSBCFH,Ford,Red,Phathana Maier,"5'3""",143
72,GGVB13U,Honda,White,Erick Fedoriva,"6'1""",203
73,JPYADM4,Audi,Silver,Alison Leung,"5'6""",199
74,Q32ITCX,Nissan,Green,Lisa Mendibaev,"5'0""",177
75,AMBUU93,Fiat,Red,Michelle Andersen,"5'11""",246
76,NDIW27B,Dodge,Black,Karen Rew,"6'3""",239
77,ZRYI0P5,Honda,Green,Marianne Li,"6'0""",229
78,ZSZVTBZ,Jaguar,Gold,Andre Romeu,"5'7""",210
79,OUM9U5D,Honda,Green,Emiliano Wenk,"6'0""",202
80,7PF2KPC,Volvo,Pink,Fatma Savitskaya,"5'2""",179
81,XK4XY0R,Audi,White,Athanasia Ayling,"5'11""",168
82,ZM7VGM6,Audi,Gold,Rena Jankovic,"6'0""",139
83,MLQ3RYE,Hyundai,White,Joao Ziadi,"5'1""",156
84,P8W1F2G,Audi,Black,Ineta Whalan,"6'4""",227
85,YFFMAWV,Audi,Orange,Collis Freimuth,"5'2""",211
86,7DYD1EZ,Cadillac,Orange,Adrien Kleibrink,"6'3""",240
87,37XMLKM,Dodge,Pink,Gil Warfe,"6'2""",178
88,9HEMA8N,Volvo,Blue,Selim Cook,"5'4""",201
89,FWHCG40,Volvo,Black,Alexandra Sanchez,"5'0""",248
90,ZKF6JCV,Mazda,Teal,Sandrine Yumira,"6'4""",133
91,6ROCDRX,Jaguar,Green,Radoslaw Robles,"6'2""",249
92,WCXINOH,Honda,Gold,Hanna Huang,"5'11""",226
93,3IIHULX,Hyundai,Gold,Michael Sinia,"5'11""",202
